group,trait,n,rep,ST_r,MT_r,delta_r
protein_oxalate_full,Soluble_Oxalate,40,1,0.14099082905081653,0.1409908290508166,8.326672684688674e-17
protein_oxalate_full,Soluble_Oxalate,40,2,-0.04435385637889419,-0.04435385637889417,2.0816681711721685e-17
protein_oxalate_full,Soluble_Oxalate,40,3,-0.07831041404779955,-0.07831041404779941,1.3877787807814457e-16
protein_oxalate_full,Soluble_Oxalate,40,4,-0.030418014604119567,-0.03041801460411933,2.3592239273284576e-16
protein_oxalate_full,Soluble_Oxalate,40,5,-0.23184240152575447,-0.23184240152575453,-5.551115123125783e-17
protein_oxalate_full,Soluble_Oxalate,40,6,-0.05858760490767714,-0.05858760490767711,3.469446951953614e-17
protein_oxalate_full,Soluble_Oxalate,40,7,-0.10327222200659833,-0.10327222200659855,-2.220446049250313e-16
protein_oxalate_full,Soluble_Oxalate,40,8,0.04576061049942923,0.04576061049942922,-6.938893903907228e-18
protein_oxalate_full,Soluble_Oxalate,40,9,0.04545433840309404,0.04545433840309402,-2.0816681711721685e-17
protein_oxalate_full,Soluble_Oxalate,40,10,-0.22257556879416732,-0.22257556879416732,0.0
protein_oxalate_full,Soluble_Oxalate,40,11,0.002416027782117469,0.002416027782117483,1.3877787807814457e-17
protein_oxalate_full,Soluble_Oxalate,40,12,0.00890460091423384,0.00890460091423384,0.0
protein_oxalate_full,Soluble_Oxalate,40,13,0.08768223728446053,0.08768223728446053,0.0
protein_oxalate_full,Soluble_Oxalate,40,14,0.011747550434697732,0.011747550434697676,-5.551115123125783e-17
protein_oxalate_full,Soluble_Oxalate,40,15,-0.09723093218732222,-0.09723093218732215,6.938893903907228e-17
protein_oxalate_full,Soluble_Oxalate,40,16,-0.05428192974138536,-0.05428192974138528,8.326672684688674e-17
protein_oxalate_full,Soluble_Oxalate,40,17,0.05882206031168452,0.05882206031168441,-1.1102230246251565e-16
protein_oxalate_full,Soluble_Oxalate,40,18,0.040297411608503086,0.040297411608503184,9.71445146547012e-17
protein_oxalate_full,Soluble_Oxalate,40,19,-0.09197222152570146,-0.09197222152570148,-1.3877787807814457e-17
