cross_id,parent_A,parent_B,G_ij,trait,mu,sigma,U,direction
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Seed_Width,6.7645,0.26621895477019514,,0
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Seed_Thickness,6.559,0.2976754261706627,,0
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Mass_of_Seeds,0.30325,0.033486164293926195,0.36201821833584047,1
TSs96_x_TSs358,TSs96,TSs358,-0.2496599308472973,Seed_Coat_Tannin,774.831851792452,126.09972468540221,-553.5268349695712,-1
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,Seed_Length,7.8,0.3736817783621462,,0
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,Seed_Width,5.949,0.2660149328337671,,0
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,Seed_Thickness,5.679,0.2974472969717978,,0
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,Mass_of_Seeds,0.20775,0.03346050153791135,0.26647318019903443,1
TSs151B_x_TSs217,TSs151B,TSs217,-0.2477452637025192,Seed_Coat_Tannin,1145.675278149975,126.00308577388832,-924.539862616801,-1
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,Seed_Length,8.366,0.3735725872454235,,0
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,Seed_Width,6.481999999999999,0.26593720234418217,,0
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,Seed_Thickness,6.4745,0.2973603818359705,,0
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,Mass_of_Seeds,0.2874,0.03345072426285919,0.3461060210813178,1
TSs151B_x_TSs371,TSs151B,TSs371,-0.2470161792176894,Seed_Coat_Tannin,1102.38949864762,125.9662672335076,-881.3186996528142,-1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Tannin,529.5418332024144,167.7272995091435,-235.18042256386758,-1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Phenol,145.5953717993927,105.57097426587464,330.8724316360027,1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Flavonoid,105.17913806359834,32.29086699910876,161.8496096470342,1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Antioxidant,157.9061296552025,76.13961082104402,291.53114664613474,1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Seed_Length,8.591,0.37356924003457903,,0
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Seed_Width,6.912,0.26593481954651976,,0
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Seed_Thickness,6.6775,0.2973577174865809,,0
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Mass_of_Seeds,0.3112,0.03345042454432835,0.36990549507529624,1
TSs133_x_TSs24,TSs133,TSs24,-0.246993832784781,Seed_Coat_Tannin,719.1594191226641,125.96513857559715,-498.0906009224911,-1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Tannin,627.798959095913,167.72594937606755,-333.4399179409145,-1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Phenol,348.751782936014,105.57012446465184,534.0273513714781,1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Flavonoid,118.014325139977,32.29060707143023,174.68434055033705,1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Antioxidant,377.66890958198,76.13899792971827,511.2928509486356,1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Seed_Length,8.221,0.3735662329618567,,0
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Seed_Width,6.4095,0.2659326788848805,,0
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Seed_Thickness,6.2285,0.29735532388404307,,0
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Mass_of_Seeds,0.26395,0.03345015528270717,0.3226550225211511,1
TSs217_x_TSs358,TSs217,TSs358,-0.2469737573307798,Seed_Coat_Tannin,949.230778565569,125.96412461006794,-728.1637398748999,-1
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,Seed_Length,8.2655,0.3734766269601123,,0
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,Seed_Width,6.176,0.26586889056038676,,0
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,Seed_Thickness,5.8075,0.29728399832161356,,0
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,Mass_of_Seeds,0.2344,0.03344213171310118,0.2930909411564926,1
TSs49_x_TSs151B,TSs49,TSs151B,-0.2463756147690667,Seed_Coat_Tannin,929.9932232514846,125.93391004415265,-708.9792111239967,-1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Tannin,600.862301370369,167.5456887981117,-306.81961752968294,-1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Phenol,146.8860338607975,105.45666478997623,331.9624805672058,1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Flavonoid,143.3814670207095,32.25590329711926,199.99057730715379,1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Antioxidant,294.3776945131325,76.0571688518514,427.85802584813166,1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Seed_Length,8.6585,0.37316474908110375,,0
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Seed_Width,6.810499999999999,0.2656468723142726,,0
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Seed_Thickness,6.518,0.29703574636642593,,0
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Mass_of_Seeds,0.30455,0.033414205303909,0.3631919303083603,1
TSs363_x_TSs317,TSs363,TSs317,-0.2442948704716336,Seed_Coat_Tannin,877.133981669001,125.82874683466481,-656.3045309741642,-1
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Tannin,479.179594814403,167.54173309894003,-185.14385322576328,-1
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Phenol,114.36854543382516,105.45417499244965,299.4406225455743,1
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Flavonoid,94.11478781712884,32.25514174574262,150.72256158090715,1
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Antioxidant,271.702100977101,76.05537316685356,405.17928088492897,1
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Seed_Length,8.636,0.3731559387828535,,0
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Seed_Width,6.7275,0.26564060047809274,,0
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Seed_Thickness,6.35785,0.2970287334491477,,0
TSs325_x_TSs282,TSs325,TSs282,-0.2442361163715466,Mass_of_Seeds,0.29075,0.033413416405399035,0.3493905457914753,1
